2025-12-02 02:46:08 [LEO Monitor] Polling started. Interval=1.0s
2025-12-02 02:48:47 Window 049 | Rate: 10148.98 Bps | EWMA:  3630.17 Bps | RTT:   10.1ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State: congested
2025-12-02 02:48:48 Window 050 | Rate: 10049.44 Bps | EWMA:  4272.10 Bps | RTT:   10.1ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State: congested
2025-12-02 02:48:49 Window 051 | Rate:  8668.03 Bps | EWMA:  4711.69 Bps | RTT:   10.1ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State: congested
2025-12-02 02:48:50 Window 052 | Rate:  8513.43 Bps | EWMA:  5091.86 Bps | RTT:   10.1ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State: congested
2025-12-02 02:48:51 Window 053 | Rate:  8557.87 Bps | EWMA:  5438.46 Bps | RTT:   10.1ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State: congested
2025-12-02 02:48:52 Window 054 | Rate:  8655.34 Bps | EWMA:  5760.15 Bps | RTT:   10.1ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State: congested
2025-12-02 02:48:53 Window 055 | Rate: 10091.32 Bps | EWMA:  6193.27 Bps | RTT:   10.1ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State: recovering
2025-12-02 02:48:54 Window 056 | Rate:  5601.29 Bps | EWMA:  6134.07 Bps | RTT:   10.1ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State: recovering
2025-12-02 02:48:54 [VIRTUAL MITIGATION] Clearing rate limit (back to normal).
2025-12-02 02:48:55 Window 057 | Rate: 10015.18 Bps | EWMA:  6522.18 Bps | RTT:   10.1ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:56 Window 058 | Rate: 10065.11 Bps | EWMA:  6876.47 Bps | RTT:   10.1ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:57 Window 059 | Rate:  9995.96 Bps | EWMA:  7188.42 Bps | RTT:   10.1ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:58 Window 060 | Rate: 10015.26 Bps | EWMA:  7471.11 Bps | RTT:   10.1ms | SYN:  N/A | UDP:   0.0 pps | ICMP:   0.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:48:59 Window 061 | Rate:  3679.31 Bps | EWMA:  7091.93 Bps | RTT:    7.3ms | SYN:  N/A | UDP:   3.0 pps | ICMP:   2.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:49:00 Window 062 | Rate:  1836.21 Bps | EWMA:  6566.36 Bps | RTT:    6.2ms | SYN:  N/A | UDP:  11.0 pps | ICMP:   5.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:49:01 Window 063 | Rate:  1810.87 Bps | EWMA:  6090.81 Bps | RTT:    5.8ms | SYN:  N/A | UDP:  18.0 pps | ICMP:   1.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:49:02 Window 064 | Rate:  1771.68 Bps | EWMA:  5658.90 Bps | RTT:    5.1ms | SYN:  N/A | UDP:  14.0 pps | ICMP:   2.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:49:03 Window 065 | Rate:  1698.18 Bps | EWMA:  5262.82 Bps | RTT:   12.1ms | SYN:  N/A | UDP:  14.0 pps | ICMP:   1.0 pps | HTTP:   0.0 req/s | State:   normal
2025-12-02 02:49:04 Window 066 | Rate:  5851.37 Bps | EWMA:  5321.68 Bps | RTT:   11.5ms | SYN:  N/A | UDP:   1.0 pps | ICMP:   0.0 pps | HTTP:   1.0 req/s | State:   normal
